pl_name,stars,moons,disc_year,orbital period,radius,mass,equilibrium temp,solar radius,solar mass,rotational velocity,distance,gaia magnitude
Kepler-1398 c,1,0,2016,4.13827595,1.03,1.08,1324,1.18,1.13,,852.204,13.6605
Kepler-1399 b,1,0,2016,1.63865306,1.25,2.1,1610,0.96,0.97,,1385.7,15.5074
Kepler-14 b,2,0,2011,6.790123,12.733,2669.66,1605,2.05,1.51,7.9,798,
Kepler-140 b,1,0,2014,3.25427,1.61,3.22,1301,1.29,1.15,,583.859,12.9412
Kepler-140 c,1,0,2014,91.353282,1.8,3.89,428,1.29,1.15,,583.859,12.9412
Kepler-1400 b,1,0,2016,9.06689421,1.62,3.26,725,0.78,0.83,,752.237,15.7129
Kepler-1401 b,1,0,2016,11.20066445,1.68,3.46,808,1.1,1.07,,1425.43,14.9721
Kepler-1402 b,1,0,2016,2.03387914,0.76,0.363,1789,0.87,0.9,,1493.64,14.6083
Kepler-1403 b,1,0,2016,5.19492202,2.14,5.22,1238,1.15,1.11,,2163.9,15.5907
Kepler-1404 b,1,0,2016,15.9314739,2.01,4.7,596,0.8,0.84,,962.183,15.7029
Kepler-1405 b,1,0,2016,28.2274184,3.96,14.9,565,1.07,1.05,,1530.3,15.8175
Kepler-1406 b,1,0,2016,11.62905828,1.1,1.37,854,1.12,1.05,,572.403,13.3819
Kepler-1407 b,1,0,2016,20.0711504,2.25,5.69,826,1.15,1.1,,1396.41,14.8925
Kepler-1408 b,1,0,2016,2.99793191,0.89,0.64,1616,1.35,1.21,,535.048,11.9622
Kepler-1409 b,1,0,2016,0.76486493,1.04,1.12,1733,0.79,0.83,,694.89,15.172
Kepler-141 b,1,0,2014,3.107675,0.69,0.257,968,0.79,1,,301.183,13.4205
